frame 	 x 	 y 
1 	 214 	 617 
2 	 213 	 617 
3 	 213 	 618 
4 	 213 	 617 
5 	 213 	 617 
6 	 213 	 617 
7 	 213 	 617 
8 	 213 	 617 
9 	 213 	 617 
10 	 213 	 617 
11 	 213 	 617 
12 	 213 	 617 
13 	 213 	 617 
14 	 214 	 617 
15 	 214 	 617 
16 	 213 	 617 
17 	 214 	 617 
18 	 214 	 617 
19 	 214 	 617 
20 	 214 	 617 
21 	 214 	 617 
22 	 214 	 617 
23 	 214 	 617 
24 	 214 	 617 
25 	 214 	 617 
26 	 214 	 617 
27 	 214 	 617 
28 	 214 	 617 
29 	 214 	 617 
30 	 214 	 617 
31 	 214 	 617 
32 	 214 	 617 
33 	 214 	 617 
34 	 214 	 617 
35 	 214 	 617 
36 	 215 	 617 
37 	 214 	 617 
38 	 214 	 617 
39 	 214 	 617 
40 	 214 	 617 
41 	 214 	 618 
42 	 214 	 618 
43 	 214 	 618 
44 	 214 	 617 
45 	 214 	 617 
46 	 214 	 617 
47 	 214 	 617 
48 	 214 	 617 
49 	 214 	 617 
50 	 214 	 617 
51 	 215 	 617 
52 	 215 	 617 
53 	 215 	 617 
54 	 215 	 617 
55 	 214 	 617 
56 	 214 	 617 
57 	 214 	 617 
58 	 214 	 617 
59 	 214 	 617 
60 	 214 	 617 
61 	 214 	 617 
62 	 214 	 617 
63 	 214 	 617 
64 	 215 	 617 
65 	 215 	 617 
66 	 215 	 617 
67 	 215 	 617 
68 	 216 	 617 
69 	 216 	 617 
70 	 217 	 617 
71 	 218 	 617 
72 	 219 	 617 
73 	 221 	 617 
74 	 224 	 618 
75 	 226 	 618 
76 	 228 	 618 
77 	 231 	 618 
78 	 233 	 617 
79 	 235 	 617 
80 	 238 	 617 
81 	 241 	 618 
82 	 243 	 618 
83 	 246 	 618 
84 	 249 	 617 
85 	 252 	 617 
86 	 255 	 618 
87 	 258 	 618 
88 	 260 	 618 
89 	 263 	 618 
90 	 267 	 618 
91 	 270 	 618 
92 	 273 	 618 
93 	 276 	 618 
94 	 279 	 618 
95 	 282 	 618 
96 	 285 	 618 
97 	 288 	 618 
98 	 291 	 618 
99 	 294 	 618 
100 	 297 	 618 
101 	 300 	 618 
102 	 304 	 618 
103 	 306 	 618 
104 	 310 	 618 
105 	 313 	 618 
106 	 316 	 618 
107 	 320 	 618 
108 	 323 	 618 
109 	 326 	 619 
110 	 330 	 619 
111 	 333 	 619 
112 	 336 	 619 
113 	 340 	 619 
114 	 343 	 619 
115 	 346 	 619 
116 	 349 	 619 
117 	 352 	 619 
118 	 356 	 619 
119 	 359 	 619 
120 	 363 	 619 
121 	 366 	 619 
122 	 370 	 619 
123 	 372 	 619 
124 	 376 	 619 
125 	 380 	 619 
126 	 383 	 619 
127 	 386 	 619 
128 	 390 	 619 
129 	 394 	 619 
130 	 397 	 619 
131 	 401 	 619 
132 	 405 	 619 
133 	 409 	 619 
134 	 412 	 619 
135 	 416 	 619 
136 	 419 	 619 
137 	 423 	 619 
138 	 426 	 619 
139 	 430 	 619 
140 	 433 	 619 
141 	 437 	 619 
142 	 441 	 619 
143 	 444 	 619 
144 	 448 	 619 
145 	 452 	 619 
146 	 456 	 619 
147 	 459 	 619 
148 	 463 	 619 
149 	 467 	 619 
150 	 471 	 619 
151 	 478 	 619 
152 	 482 	 619 
153 	 486 	 619 
154 	 490 	 619 
155 	 494 	 619 
156 	 498 	 619 
157 	 498 	 619 
158 	 501 	 619 
159 	 505 	 619 
160 	 509 	 619 
161 	 513 	 619 
162 	 517 	 619 
163 	 521 	 619 
164 	 525 	 619 
165 	 528 	 619 
166 	 532 	 619 
167 	 536 	 619 
168 	 540 	 619 
169 	 544 	 619 
170 	 548 	 619 
171 	 552 	 619 
172 	 556 	 619 
173 	 560 	 618 
174 	 564 	 619 
175 	 568 	 618 
176 	 572 	 618 
177 	 575 	 618 
178 	 579 	 619 
179 	 583 	 619 
180 	 587 	 619 
181 	 591 	 619 
182 	 595 	 619 
183 	 599 	 619 
184 	 603 	 619 
185 	 607 	 619 
186 	 612 	 619 
187 	 616 	 619 
188 	 620 	 619 
189 	 624 	 619 
190 	 627 	 619 
191 	 632 	 618 
192 	 636 	 619 
193 	 640 	 619 
194 	 644 	 619 
195 	 648 	 619 
196 	 652 	 619 
197 	 656 	 619 
198 	 660 	 619 
199 	 664 	 619 
200 	 668 	 619 
201 	 672 	 619 
202 	 676 	 619 
203 	 680 	 619 
204 	 684 	 619 
205 	 688 	 619 
206 	 692 	 619 
207 	 696 	 619 
208 	 700 	 619 
209 	 704 	 619 
210 	 709 	 619 
211 	 713 	 619 
212 	 717 	 619 
213 	 721 	 619 
214 	 725 	 619 
215 	 730 	 619 
216 	 734 	 619 
217 	 738 	 619 
218 	 743 	 619 
219 	 747 	 619 
220 	 751 	 619 
221 	 755 	 619 
222 	 760 	 619 
223 	 764 	 618 
224 	 768 	 618 
225 	 773 	 619 
226 	 777 	 619 
227 	 781 	 618 
228 	 785 	 618 
229 	 790 	 618 
230 	 794 	 618 
231 	 799 	 618 
232 	 803 	 618 
233 	 807 	 619 
234 	 812 	 619 
235 	 816 	 619 
236 	 821 	 619 
237 	 825 	 619 
238 	 830 	 619 
239 	 834 	 619 
240 	 839 	 619 
241 	 843 	 619 
242 	 847 	 619 
243 	 852 	 619 
244 	 856 	 619 
245 	 860 	 619 
246 	 864 	 619 
247 	 869 	 619 
248 	 874 	 619 
249 	 878 	 619 
250 	 882 	 619 
251 	 886 	 619 
252 	 891 	 619 
253 	 895 	 619 
254 	 899 	 619 
255 	 904 	 619 
256 	 908 	 619 
257 	 912 	 619 
258 	 916 	 619 
259 	 921 	 619 
260 	 925 	 619 
261 	 929 	 619 
262 	 934 	 619 
263 	 938 	 619 
264 	 942 	 619 
265 	 946 	 619 
266 	 950 	 619 
267 	 955 	 619 
268 	 959 	 619 
269 	 963 	 619 
270 	 967 	 619 
271 	 971 	 619 
272 	 976 	 619 
273 	 980 	 619 
274 	 984 	 619 
275 	 988 	 619 
276 	 992 	 619 
277 	 996 	 619 
278 	 1001 	 619 
279 	 1005 	 619 
280 	 1009 	 620 
281 	 1013 	 620 
282 	 1018 	 620 
283 	 1021 	 620 
284 	 1026 	 619 
285 	 1030 	 619 
286 	 1034 	 620 
287 	 1038 	 620 
288 	 1042 	 620 
289 	 1046 	 620 
290 	 1050 	 620 
291 	 1054 	 620 
292 	 1058 	 620 
293 	 1062 	 620 
294 	 1066 	 620 
295 	 1070 	 620 
296 	 1074 	 620 
297 	 1079 	 620 
298 	 1083 	 620 
299 	 1087 	 620 
300 	 1091 	 620 
301 	 1095 	 620 
302 	 1099 	 620 
303 	 1103 	 620 
304 	 1106 	 620 
305 	 1110 	 620 
306 	 1114 	 620 
307 	 1118 	 620 
308 	 1122 	 620 
309 	 1127 	 620 
310 	 1130 	 620 
311 	 1134 	 620 
312 	 1138 	 620 
313 	 1142 	 620 
314 	 1146 	 620 
315 	 1150 	 620 
316 	 1154 	 620 
317 	 1158 	 620 
318 	 1162 	 620 
319 	 1166 	 620 
320 	 1170 	 621 
321 	 1174 	 621 
322 	 1178 	 621 
323 	 1182 	 621 
324 	 1186 	 621 
325 	 1190 	 621 
326 	 1194 	 621 
327 	 1198 	 621 
328 	 1203 	 621 
329 	 1206 	 621 
330 	 1211 	 621 
331 	 1215 	 621 
332 	 1219 	 621 
333 	 1223 	 621 
334 	 1227 	 621 
335 	 1231 	 621 
336 	 1235 	 621 
337 	 1239 	 621 
338 	 1243 	 621 
339 	 1247 	 621 
340 	 1251 	 621 
341 	 1255 	 621 
342 	 1259 	 621 
