Frame, x, y, width, height
0,213,617,46,46
1,213,617,46,46
2,213,617,46,45
3,213,617,46,45
4,212,617,46,45
5,213,617,46,46
6,213,616,46,46
7,213,616,46,46
8,213,616,46,46
9,213,616,47,47
10,212,616,46,46
11,213,616,47,46
12,213,616,47,46
13,213,617,47,47
14,213,617,47,47
15,213,616,47,47
16,213,616,46,47
17,213,616,47,47
18,213,616,47,47
19,213,616,48,48
20,213,616,46,48
20,1728,159,80,64
21,213,616,45,47
21,1733,162,80,72
21,1719,104,126,53
22,213,617,45,46
22,1732,162,71,72
22,1726,100,96,48
23,213,617,45,45
23,1731,158,71,64
23,1718,99,140,48
24,213,617,45,45
24,1732,162,71,72
24,1718,98,139,48
25,213,617,46,45
25,1731,162,71,74
25,1716,98,139,51
26,213,617,45,45
26,1731,163,66,74
26,1715,98,141,48
27,213,617,46,45
27,1732,163,66,75
27,1721,98,142,49
28,213,617,46,45
28,1732,161,64,76
28,1722,98,142,49
29,214,617,46,45
29,1722,98,142,49
30,214,617,46,45
30,1722,98,142,49
31,214,617,46,46
31,1730,98,128,49
32,214,616,46,48
32,1725,96,128,41
33,214,616,46,47
33,1726,96,128,41
34,214,616,46,47
34,1726,96,128,41
35,214,616,47,47
35,1720,95,110,41
36,214,616,47,49
36,1712,98,116,57
37,214,616,48,49
37,1712,98,116,57
38,214,616,47,47
38,1711,99,120,57
39,214,617,46,45
39,1711,99,119,57
40,214,617,47,46
40,1711,97,117,55
41,214,617,47,46
41,1710,98,118,55
42,214,617,47,46
42,1715,96,108,37
43,214,617,47,46
43,1715,96,108,37
44,214,617,47,46
44,1716,95,108,37
45,214,617,47,46
45,1715,95,107,37
46,214,617,47,46
46,1715,95,109,37
47,214,617,47,46
47,1714,95,109,37
48,214,617,47,46
48,1732,157,58,73
48,1708,98,120,54
49,214,617,47,46
49,1708,98,120,54
50,214,617,47,46
50,1708,98,120,54
51,214,617,47,47
51,1708,98,120,54
52,214,617,47,47
52,1705,99,144,62
53,214,617,47,47
53,1705,99,144,61
54,214,617,47,46
54,1698,103,165,72
55,214,617,47,46
55,1697,103,165,72
56,214,617,47,45
56,1693,104,151,73
57,214,617,47,45
57,1693,104,151,73
58,214,617,47,45
58,1701,100,130,60
59,214,617,47,46
59,1711,95,94,37
60,214,617,47,46
61,214,617,47,45
62,214,617,47,46
63,214,617,46,46
64,214,617,47,46
65,215,616,47,46
66,215,616,47,46
67,215,617,47,47
68,215,617,47,47
69,217,617,47,47
70,218,617,46,47
71,219,617,46,46
72,221,617,47,46
73,223,617,47,46
74,225,617,46,46
75,228,617,46,45
76,230,617,47,44
77,232,617,45,45
78,235,617,47,45
79,238,617,47,45
80,241,617,47,46
81,243,617,48,46
82,245,617,47,46
83,248,617,47,46
84,251,617,48,46
85,254,617,49,46
86,257,617,49,46
87,260,617,49,46
88,263,617,49,46
89,266,617,50,46
90,269,617,49,46
91,272,617,49,46
92,275,617,49,46
93,278,617,48,44
94,281,617,50,45
95,285,617,50,46
96,287,617,50,45
97,291,617,50,45
98,294,617,52,46
99,297,617,52,47
