frame 	 x 	 y 	 width 	 height 	 deformation 
1.0 	 86 	 562 	 44.0 	 46.0 	 0.022222222222222223 
2.0 	 86 	 562 	 43.0 	 47.0 	 0.044444444444444446 
3.0 	 86 	 562 	 44.0 	 46.0 	 0.022222222222222223 
4.0 	 86 	 562 	 44.0 	 45.0 	 0.011235955056179775 
5.0 	 87 	 562 	 45.0 	 47.0 	 0.021739130434782608 
6.0 	 87 	 562 	 45.0 	 47.0 	 0.021739130434782608 
7.0 	 86 	 562 	 44.0 	 45.0 	 0.011235955056179775 
8.0 	 87 	 562 	 44.0 	 46.0 	 0.022222222222222223 
9.0 	 87 	 562 	 44.0 	 47.0 	 0.03296703296703297 
10.0 	 87 	 562 	 43.0 	 44.0 	 0.011494252873563218 
11.0 	 87 	 562 	 44.0 	 46.0 	 0.022222222222222223 
12.0 	 87 	 562 	 44.0 	 47.0 	 0.03296703296703297 
13.0 	 87 	 562 	 44.0 	 46.0 	 0.022222222222222223 
14.0 	 87 	 562 	 44.0 	 46.0 	 0.022222222222222223 
15.0 	 87 	 562 	 45.0 	 47.0 	 0.021739130434782608 
16.0 	 87 	 562 	 44.0 	 45.0 	 0.011235955056179775 
17.0 	 87 	 562 	 44.0 	 46.0 	 0.022222222222222223 
18.0 	 87 	 562 	 44.0 	 47.0 	 0.03296703296703297 
19.0 	 87 	 562 	 44.0 	 45.0 	 0.011235955056179775 
20.0 	 88 	 562 	 44.0 	 45.0 	 0.011235955056179775 
21.0 	 88 	 562 	 44.0 	 47.0 	 0.03296703296703297 
22.0 	 88 	 562 	 44.0 	 45.0 	 0.011235955056179775 
23.0 	 88 	 562 	 44.0 	 45.0 	 0.011235955056179775 
24.0 	 88 	 562 	 44.0 	 46.0 	 0.022222222222222223 
25.0 	 88 	 562 	 44.0 	 46.0 	 0.022222222222222223 
26.0 	 88 	 562 	 43.0 	 44.0 	 0.011494252873563218 
27.0 	 88 	 562 	 44.0 	 46.0 	 0.022222222222222223 
28.0 	 88 	 562 	 44.0 	 46.0 	 0.022222222222222223 
29.0 	 88 	 562 	 43.0 	 44.0 	 0.011494252873563218 
30.0 	 88 	 562 	 44.0 	 46.0 	 0.022222222222222223 
31.0 	 88 	 562 	 43.0 	 45.0 	 0.022727272727272728 
32.0 	 88 	 562 	 44.0 	 44.0 	 0.0 
33.0 	 89 	 562 	 44.0 	 45.0 	 0.011235955056179775 
34.0 	 88 	 562 	 44.0 	 46.0 	 0.022222222222222223 
35.0 	 88 	 562 	 44.0 	 44.0 	 0.0 
36.0 	 89 	 562 	 44.0 	 46.0 	 0.022222222222222223 
37.0 	 89 	 562 	 44.0 	 47.0 	 0.03296703296703297 
38.0 	 89 	 562 	 43.0 	 45.0 	 0.022727272727272728 
39.0 	 89 	 562 	 44.0 	 47.0 	 0.03296703296703297 
40.0 	 89 	 562 	 44.0 	 47.0 	 0.03296703296703297 
41.0 	 89 	 562 	 43.0 	 45.0 	 0.022727272727272728 
42.0 	 89 	 562 	 43.0 	 46.0 	 0.033707865168539325 
43.0 	 89 	 562 	 44.0 	 47.0 	 0.03296703296703297 
44.0 	 89 	 562 	 43.0 	 45.0 	 0.022727272727272728 
45.0 	 89 	 562 	 43.0 	 46.0 	 0.033707865168539325 
46.0 	 89 	 562 	 44.0 	 47.0 	 0.03296703296703297 
47.0 	 90 	 562 	 43.0 	 46.0 	 0.033707865168539325 
48.0 	 90 	 562 	 45.0 	 43.0 	 0.022727272727272728 
49.0 	 91 	 562 	 44.0 	 47.0 	 0.03296703296703297 
50.0 	 91 	 562 	 43.0 	 45.0 	 0.022727272727272728 
51.0 	 91 	 562 	 42.0 	 45.0 	 0.034482758620689655 
52.0 	 92 	 562 	 44.0 	 46.0 	 0.022222222222222223 
53.0 	 92 	 562 	 43.0 	 45.0 	 0.022727272727272728 
54.0 	 93 	 562 	 43.0 	 45.0 	 0.022727272727272728 
55.0 	 93 	 562 	 44.0 	 47.0 	 0.03296703296703297 
56.0 	 94 	 562 	 44.0 	 47.0 	 0.03296703296703297 
57.0 	 95 	 562 	 43.0 	 46.0 	 0.033707865168539325 
58.0 	 97 	 562 	 44.0 	 46.0 	 0.022222222222222223 
59.0 	 98 	 562 	 44.0 	 46.0 	 0.022222222222222223 
60.0 	 99 	 562 	 43.0 	 45.0 	 0.022727272727272728 
61.0 	 100 	 562 	 44.0 	 45.0 	 0.011235955056179775 
62.0 	 102 	 562 	 44.0 	 47.0 	 0.03296703296703297 
